nm0290554	Herminia Franco	1915	1984	actress	tt0194654,tt0198763,tt0044335,tt0178728
nm0293989	Friz Freleng	1906	1995	producer,director,writer	tt0085390,tt0088491,tt0082679,tt0083701
nm0294261	Toni Frenguelli	\N	\N	cinematographer,director,writer	tt0472158,tt0044183,tt0038195,tt0201729
nm0297418	Guillermo Fuentes	\N	\N	writer,actor	tt0465995,tt0201741,tt0470112,tt0466155
nm0297984	Seiichi Fukuda	1916	1996	director,assistant_director	tt0203663,tt0133571,tt0294917,tt0164708
nm0299340	Hiroo Fuseya	\N	\N	producer,actor	tt2217945,tt0086836,tt0082819,tt0063351
nm0301984	Elia Galera	1973	\N	actress	tt0284491,tt0297174,tt0406854,tt0201721
nm0303132	Tom Gallop	\N	\N	actor,producer	tt0372183,tt0212720,tt0116695,tt0440963
nm0303472	Tim Galvin	\N	\N	production_designer,art_director,art_department	tt0120176,tt1179069,tt1327773,tt3520702
nm0304876	Carlos Garay	\N	\N	cinematographer	tt0201702,tt0202029
nm0305725	Jesús García Leoz	1904	\N	composer,music_department,soundtrack	tt0041478,tt0044092,tt0045554,tt0042222
nm0313163	Cecil Gentry	\N	\N	production_designer,art_director,art_department	tt3331028,tt0114594,tt1133993,tt0433350
nm0313867	Carmelita Geraghty	1901	1966	actress	tt0016230,tt0020258,tt0018183,tt0165954
nm0315305	Daniel Getzoff	\N	\N	actor	tt0197512,tt0201739,tt0122151,tt0387575
nm0318319	Daniel Gilboy	\N	\N	producer,miscellaneous,director	tt0468461,tt4530884,tt1242432,tt2537176
nm0320032	Nelli Gini	1949	\N	actress,soundtrack	tt0230514,tt1085716,tt2215677,tt0230758
nm0320266	Giannis Gionakis	\N	2002	actor	tt0135757,tt0199911,tt0179634,tt0205481
nm0321704	Glajiman	\N	\N	director	tt0020176
nm0323037	Marie Glory	1905	2009	actress	tt0019646,tt0177913,tt0049189,tt0021774
nm0325755	Clint Goldman	\N	\N	producer,visual_effects	tt0120177,tt0405469,tt0106912,tt0110475
nm0329640	Michael A. Goorjian	1971	\N	actor,director,writer	tt0104291,tt0113627,tt0133189,tt0120696
